Disaggregation,ca,Number of indicators,Number of values
Edad,Edad,3,8
Forma de medir el empleo,Forma de medir el empleo,2,2
Grupo de poblaci贸n,Grupo de poblaci贸n,1,2
Mediana de ingresos,Mediana de ingresos,1,2
Ocupaci贸n sanitaria,Ocupaci贸n sanitaria,1,4
Saldo contable,Saldo contable,1,2
Serie temporal,Serie temporal,10,24
Serie,Serie,23,5
Sexo,Sexo,5,3
Territorio,Territorio,142,2
Tipo de enfermedad,Tipo de enfermedad,1,4
Tipo de tenencia,Tipo de tenencia,1,3
Tipo de tratamiento,Tipo de tratamiento,1,3
Umbral de pobreza,Umbral de pobreza,2,2
